Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C25, C26",603,4,27p,C107045
"C10, C8",603,2,1u,C15849
"C11, C12, C13, C14, C15, C16, C18, C19, C20, C21, C27, C28, C4, C6, C7, C9",603,16,100n,C14663
"C17, C22, C23, C24, C3, C5",603,6,10u,C96446
"D1, D2, D3",603,3,LED,C2286
J1,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0,C709357
"R1, R3",603,2,1k,C21190
"R10, R11, R16, R17, R27",603,5,10k,C25804
"R12, R6",603,2,3.6k,C22980
"R13, R7",603,2,3.3k,C22978
"R14, R8",603,2,9.1k,C23260
"R15, R9",603,2,20k,C4184
"R18, R19, R20",603,3,100,C22775
"R21, R22",603,2,5.1k,C23186
"R23, R26",603,2,120,C22787
R24,603,1,560,C23204
R25,603,1,220,C22962
"R4, R5",603,2,27,C25190
SW2,SW_DIP_SPSTx04_Slide_Omron_A6S-410x_W8.9mm_P2.54mm,1,SW_DIP_x04,C306873
U10,SOIC-14_3.9x8.7mm_P1.27mm,1,MCP4922-ESL,C39851
U2,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
U3,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U5,SOIC-14_3.9x8.7mm_P1.27mm,1,TL074,C12594
U6,SOIC-14_3.9x8.7mm_P1.27mm,1,74LS125,C155176
U7,TSSOP-20_4.4x6.5mm_P0.65mm,1,MCP2515-xST,C15193
U8,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2551-I-SN,C7376
U9,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,8Mhz,C2682774
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C9002
