Designator,Mid X,Mid Y,Rotation,Layer
C1,4.845,-75.975,0,top
C10,19.125,-39.925,0,top
C11,17.1125,-28.025,180,top
C12,20.825,-54.9,0,top
C13,20.8,-62.55,0,top
C14,17.1125,-26.475,180,top
C15,20.8,-56.45,0,top
C16,20.775,-64.1,0,top
C17,33.1125,-26.625,0,top
C18,17.1125,-31.125,180,top
C19,17.1625,-32.975,180,top
C2,4.87,-81.975,180,top
C20,33.1125,-28.175,0,top
C21,17.1125,-29.575,180,top
C22,17.1625,-34.975,180,top
C23,34.2875,-35.475,180,top
C24,20.8,-19.525,180,top
C25,17.125,-20.625,180,top
C26,89.5625,-13.925,270,top
C27,20.825,-24.675,0,top
C28,17.125,-23.725,180,top
C29,19.125,-47.7,180,top
C3,18.345,-73.45,270,top
C30,19.125,-43.025,180,top
C4,7.395,-70.375,90,top
C5,6,-15,180,top
C6,6,-23,180,top
C7,36,-64,270,top
C8,44,-64,270,top
C9,19.125,-44.6,0,top
D1,95,-88,180,top
D2,84.81,-4.8,90,top
D3,86.49,-4.8,90,top
FB1,17.125,-22.175,0,top
J1,12.5,-90,0,top
J10,78.5,-90,0,top
J2,18,-5,270,top
J3,4,-45,270,top
J4,93,-46,90,top
J5,4,-59,270,top
J6,29,-90,0,top
J7,45.5,-90,0,top
J8,94,-25,270,top
J9,62,-90,0,top
Module1,79,-5,180,top
R1,16.545,-68.975,270,top
R10,17.75,-61,180,top
R11,84.81,-7.925,270,top
R12,17.775,-54.9,180,top
R13,17.75,-62.55,180,top
R14,86.5,-7.9,270,top
R15,37.9375,-32.475,90,top
R16,95.3625,-13.95,270,top
R17,19.125,-46.15,0,top
R18,19.125,-41.475,0,top
R2,21.425,-46.95,270,top
R3,21.425,-42.275,270,top
R4,25.2875,-25.975,180,top
R5,16.745,-73.475,90,top
R9,17.775,-53.35,180,top
U1,11.95,-76.85,0,top
U2,11.995,-70.425,0,top
U3,84,-70,270,top
U5,25.2875,-30.975,180,top
U6,20.8375,-22.075,180,top
U7,92.4625,-13.95,0,top
X1,34.3375,-32.425,270,top
Y1,4.795,-78.975,90,top
J100,45.54,-26.5,90,top
J101,79.46,-26.5,90,top
