Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C7, C8",603,4,100n,C14663
"C10, C11, C12, C13, C3, C4, C5, C6, C9",CP_Elec_6.3x7.7,9,220u,C340768
C14,603,1,2u,C23630
C15,1210,1,47u,C90142
"D1, D2, D9",D_SOD-123,3,1N5819WS,C8598
"D10, D11, D12, D3, D4, D5, D6, D7, D8",D_SOD-123,9,1N4148W,C81598
"D13, D15",603,2,LED,C2286
D14,D_SMA,1,SS54,C22452
J9,BarrelJack_CLIFF_FC681465S_SMT_Horizontal,1,Barrel_Jack_Switch,C431534
"L1, L2, L3",L_12x12mm_H8mm,3,150uH,C339958
Q3,SOT-23,1,2N7002,C8545
"R1, R2",603,2,10k,C25804
"R10, R31, R8, R9",603,4,100,C22775
"R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22",1206,12,10R,C17903
R23,603,1,5k,C23186
"R24, R3, R4",603,3,1.2k,C22765
"R25, R26, R27, R28, R30",603,5,1k,C21190
R29,603,1,500,C23193
R32,603,1,560,C23204
R33,603,1,680,C23228
"R5, R6, R7",603,3,33k,C4216
SW1,SW_SPDT_PCM12,1,SW_SPDT,C319019
"U1, U4, U5",TO-263-5_TabPin3,3,LM2576S-ADJ,C347415
"U2, U3",SOIC-14_3.9x8.7mm_P1.27mm,2,LM324,C71035
