Designator,Mid X,Mid Y,Rotation,Layer
C1,75.35,-61.775,90.0,top
C10,80.75,-79.55,0.0,top
C11,54.725,-64.025,270.0,top
C12,12.5,-40.0,90.0,top
C13,71.0,-40.0,90.0,top
C14,48.85,-64.15,90.0,top
C15,53.625,-82.125,270.0,top
C16,44.15,-64.15,90.0,top
C17,46.0,-82.125,270.0,top
C18,52.1,-82.125,270.0,top
C19,44.475,-82.125,270.0,top
C2,80.75,-77.25,0.0,top
C20,55.15,-75.95,0.0,top
C21,45.7,-64.15,90.0,top
C22,42.95,-82.125,270.0,top
C23,41.425,-82.125,270.0,top
C24,57.175,-72.35,0.0,top
C25,50.575,-82.125,270.0,top
C26,38.2,-82.125,270.0,top
C27,34.2,-69.975,270.0,top
C28,66.65,-66.575,90.0,top
C3,78.5,-40.0,90.0,top
C30,58.55,-86.775,0.0,top
C31,16.03,-61.825,90.0,top
C32,17.55,-61.825,90.0,top
C33,19.1,-61.825,90.0,top
C34,28.45,-74.1,0.0,top
C35,19.75,-76.6,270.0,top
C36,16.65,-76.6,270.0,top
C37,15.1,-76.6,270.0,top
C38,8.1,-75.25,180.0,top
C39,8.1,-72.15,180.0,top
C4,45.5,-40.0,90.0,top
C40,8.1,-67.5,180.0,top
C41,21.3,-76.6,270.0,top
C42,18.2,-76.6,270.0,top
C43,28.45,-72.55,0.0,top
C44,28.45,-66.65,0.0,top
C46,8.65,-84.0,180.0,top
C47,8.65,-85.55,0.0,top
C48,8.65,-87.1,0.0,top
C49,5.05,-73.7,180.0,top
C5,5.0,-40.0,90.0,top
C50,7.825,-90.7,180.0,top
C6,38.0,-40.0,90.0,top
C7,75.57,-72.65,270.0,top
C8,73.82,-61.775,90.0,top
C9,73.99,-72.65,90.0,top
D1,21.0,-54.0,0.0,top
D10,92.8125,-90.9,180.0,top
D11,83.375,-96.9,0.0,top
D12,92.825,-89.25,0.0,top
D13,92.825,-87.6,0.0,top
D14,92.8125,-85.95,0.0,top
D2,54.0,-54.0,0.0,top
D3,7.0,-26.0,90.0,top
D4,37.0,-26.0,90.0,top
D5,67.0,-26.0,90.0,top
D6,7.0,-31.0,90.0,top
D7,37.0,-31.0,90.0,top
D8,67.0,-31.0,90.0,top
D9,87.0,-54.0,0.0,top
FB1,5.05,-67.5,0.0,top
HS1,20.0,-14.0,180.0,top
HS2,50.0,-14.0,180.0,top
HS3,80.0,-14.0,180.0,top
J10,24.0,-88.0,270.0,top
J11,95.5,-69.0,270.0,top
J2,39.7,-91.5,270.0,top
J3,32.9,-91.525,270.0,top
J4,33.075,-56.795,0.0,top
J5,29.0,-27.0,0.0,top
J6,59.0,-27.0,0.0,top
J7,89.0,-27.0,0.0,top
J8,94.5,-13.0,0.0,top
J9,48.0,-95.6,0.0,top
L1,9.0,-52.0,180.0,top
L2,42.0,-52.0,180.0,top
L3,75.0,-52.0,180.0,top
Q1,47.46,-30.66,0.0,top
Q2,77.46,-30.66,0.0,top
Q4,17.46,-30.66,0.0,top
R1,25.85,-69.65,270.0,top
R10,78.51,-72.625,270.0,top
R11,36.0,-15.6,180.0,top
R12,36.0,-17.9,180.0,top
R13,36.0,-13.3,180.0,top
R14,66.0,-15.6,180.0,top
R15,66.0,-17.9,180.0,top
R16,66.0,-13.3,180.0,top
R17,6.0,-13.3,180.0,top
R18,6.0,-15.6,180.0,top
R19,6.0,-17.9,180.0,top
R2,28.45,-77.2,0.0,top
R20,6.0,-11.0,0.0,top
R21,36.0,-11.0,0.0,top
R22,66.0,-11.0,0.0,top
R23,47.275,-64.15,90.0,top
R24,96.0,-41.0,0.0,top
R25,49.05,-82.125,90.0,top
R26,89.725,-89.25,180.0,top
R27,89.725,-87.6,180.0,top
R28,89.7125,-85.95,180.0,top
R29,47.525,-82.125,90.0,top
R3,30.0,-41.0,0.0,top
R30,46.75,-90.075,270.0,top
R31,49.75,-90.1,270.0,top
R32,36.675,-82.125,90.0,top
R33,33.625,-82.125,90.0,top
R34,35.15,-82.125,270.0,top
R35,32.1,-82.125,90.0,top
R36,30.475,-82.125,270.0,top
R37,39.85,-82.125,270.0,top
R38,35.725,-69.975,270.0,top
R39,38.775,-69.975,270.0,top
R4,63.0,-41.0,0.0,top
R40,37.25,-69.975,90.0,top
R41,40.3,-69.975,270.0,top
R42,41.825,-69.975,90.0,top
R43,32.575,-69.975,90.0,top
R47,64.925,-86.825,180.0,top
R48,42.6,-64.15,90.0,top
R49,20.65,-61.825,270.0,top
R5,7.0,-22.0,90.0,top
R50,28.45,-75.65,0.0,top
R51,8.65,-88.7,180.0,top
R52,8.1,-64.4,180.0,top
R53,8.1,-65.95,0.0,top
R54,8.1,-69.05,180.0,top
R55,8.1,-70.6,0.0,top
R56,5.05,-69.05,180.0,top
R57,5.05,-70.6,180.0,top
R58,5.05,-64.4,180.0,top
R59,5.05,-65.95,180.0,top
R6,37.0,-22.0,90.0,top
R60,8.1,-73.7,0.0,top
R61,22.2,-61.825,270.0,top
R62,23.75,-61.825,270.0,top
R63,89.725,-90.9,0.0,top
R7,67.0,-22.0,90.0,top
R8,70.91,-61.885,90.0,top
R9,78.51,-61.885,90.0,top
RV1,31.0,-50.0,270.0,top
RV2,64.0,-50.0,270.0,top
RV3,11.0,-30.0,270.0,top
RV4,41.0,-30.0,270.0,top
RV5,71.0,-30.0,270.0,top
RV6,97.0,-50.0,270.0,top
SW1,65.0,-94.0,90.0,top
SW2,58.0,-94.0,90.0,top
SW3,78.745,-92.53,180.0,top
TP1,97.2,-82.45,0.0,top
U1,22.0,-43.0,90.0,top
U10,61.75,-83.075,180.0,top
U11,17.95,-69.5,0.0,top
U12,37.625,-75.975,90.0,top
U2,74.75,-67.25,270.0,top
U3,74.65,-79.55,180.0,top
U4,55.0,-42.0,90.0,top
U5,88.0,-42.0,90.0,top
U6,49.1,-73.35,180.0,top
U8,62.05,-63.36,0.0,top
Y1,51.75,-64.075,0.0,top
Y2,28.45,-69.6,90.0,top
