Designator,Mid X,Mid Y,Rotation,Layer
C1,28.9,-42.675,270.0,top
C10,20.125,-59.1,270.0,top
C11,19.4,-35.35,90.0,top
C12,28.125,-59.1,270.0,top
C13,29.725,-59.1,270.0,top
C14,32.925,-59.1,270.0,top
C15,21.725,-59.1,270.0,top
C16,19.1,-51.1,180.0,top
C17,18.525,-59.1,270.0,top
C18,43.4775,-61.38,180.0,top
C19,21.125,-20.96,270.0,top
C2,26.0,-40.1,0.0,top
C20,30.325,-20.86,270.0,top
C21,39.525,-52.47,90.0,top
C22,82.102,-48.848,90.0,top
C23,82.102,-45.748,90.0,top
C24,82.102,-62.748,270.0,top
C25,51.0375,-34.475,0.0,top
C26,54.0375,-31.875,270.0,top
C27,38.7375,-36.775,180.0,top
C28,48.8375,-40.475,270.0,top
C3,90.002,-28.948,0.0,top
C4,21.225,-42.7,90.0,top
C5,86.827,-28.948,180.0,top
C6,31.325,-59.1,270.0,top
C7,19.625,-42.7,90.0,top
C8,23.325,-59.1,270.0,top
C9,19.15,-54.0,180.0,top
D1,93.7,-11.8855,270.0,top
D2,91.952,-11.898,270.0,top
D3,90.202,-11.898,270.0,top
J1,13.0,-75.5,0.0,top
J2,36.0,-71.0,0.0,top
J3,71.0,-71.0,0.0,top
J5,8.0,-29.325,0.0,top
J6,18.0,-11.0,180.0,top
PS2,86.65,-62.84,180.0,top
R1,49.6775,-60.38,0.0,top
R10,18.725,-17.06,180.0,top
R11,21.125,-24.06,270.0,top
R12,32.725,-20.26,180.0,top
R13,32.725,-23.46,180.0,top
R14,32.725,-21.86,0.0,top
R15,30.325,-24.26,270.0,top
R16,32.725,-25.06,0.0,top
R17,30.325,-17.76,90.0,top
R18,49.575,-50.54,0.0,top
R19,49.575,-46.74,0.0,top
R2,49.6775,-58.78,180.0,top
R20,38.775,-45.64,180.0,top
R21,11.7,-69.1,270.0,top
R22,14.8,-69.1,270.0,top
R23,38.7375,-41.575,0.0,top
R24,93.7,-8.7855,90.0,top
R25,91.952,-8.798,90.0,top
R26,90.202,-8.798,90.0,top
R27,40.45,-29.35,0.0,top
R3,22.8,-42.7,90.0,top
R4,26.5,-60.3,90.0,top
R5,24.925,-60.3,90.0,top
R6,18.725,-20.26,0.0,top
R7,18.725,-18.66,0.0,top
R8,18.725,-21.86,180.0,top
R9,21.125,-17.86,90.0,top
SW2,11.35,-49.49,0.0,top
U1,85.9665,-33.723,270.0,top
U10,25.0,-32.0,90.0,top
U2,43.4,-57.6,180.0,top
U3,25.225,-51.1625,180.0,top
U5,25.725,-20.96,0.0,top
U6,44.2,-49.4,180.0,top
U7,44.2,-34.0,180.0,top
U8,44.2375,-40.475,180.0,top
U9,88.202,-23.298,90.0,top
Y1,51.0375,-31.875,180.0,top
Y2,25.9,-42.7,0.0,top
