Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",603,2,27p,C107045
"C10, C9",603,2,3.3u,C23630
"C11, C18, C20, C21, C24, C28, C3, C4",603,8,100n,C14663
"C12, C13, C14, C17, C26, C27",603,6,10u,C96446
"C15, C16",603,2,220p,C1603
"C19, C22",805,2,47u,C16780
"C23, C25",603,2,10n,C57112
"C29, C30",603,2,2.7n,C1609
"C5, C6, C7, C8",CP_Elec_6.3x5.8,4,100u,C180946
D1,D_SMA,1,SS54,C22452
D2,603,1,LED Green,C72043
D3,603,1,LED Red,C2286
FB1,603,1,FerriteBead_Small,C1002
J2,BarrelJack_CLIFF_FC681465S_SMT_Horizontal,1,Barrel_Jack_Switch,C431534
J4,USB_A_TE_292303-7_Horizontal,1,USB_A,C2763367
J8,microSD_HC_Wuerth_693072010801,1,Micro_SD_Card,C883270
R1,603,1,120,C22787
"R10, R9",603,2,4.99k,C23046
"R11, R14",603,2,1k,C21190
"R12, R13, R15, R2, R3, R4, R5",603,7,10k,C25804
R16,603,1,12K 1%,C22790
"R17, R18",603,2,590,C23084
U1,TSSOP-20_4.4x6.5mm_P0.65mm,1,MCP2515-xST,C15193
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2551-I-SN,C7376
U5,TSSOP-24_4.4x7.8mm_P0.65mm,1,CS4270,C1521475
U6,SOT-23-6,1,TPS79301-EP,C2869546
U7,SOT-23-5,1,RT9742GGJ5,C250547
X1,XTAL_ASFL1-8.000MHZ-EC-T,1,12.288MHz,C276419
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,8Mhz,C2682774
"J100, J101",HIROSE DF40HC(3.0)-100DS-0.4V,2,HIROSE DF40HC(3.0)-100DS-0.4V,C424649
