Designator,Mid X,Mid Y,Rotation,Layer
C1,27.525,-77.66,0.0,top
C10,43.5,-75.0,180.0,top
C11,43.5,-83.0,0.0,top
C12,12.5,-40.0,90.0,top
C13,71.0,-40.0,90.0,top
C14,29.125,-80.36,180.0,top
C15,16.6,-82.725,90.0,top
C2,16.035,-63.74,180.0,top
C3,78.5,-40.0,90.0,top
C4,45.5,-40.0,90.0,top
C5,5.0,-40.0,90.0,top
C6,38.0,-40.0,90.0,top
C7,16.725,-77.96,180.0,top
C8,26.735,-63.44,0.0,top
C9,71.1,-90.7,270.0,top
D1,21.0,-54.0,0.0,top
D10,7.5,-82.3,0.0,top
D11,29.525,-72.71,270.0,top
D12,27.125,-72.71,90.0,top
D13,66.49,-87.525,90.0,top
D14,71.1,-97.8,0.0,top
D15,64.8,-87.525,90.0,top
D2,54.0,-54.0,0.0,top
D3,7.0,-26.0,90.0,top
D4,37.0,-26.0,90.0,top
D5,67.0,-26.0,90.0,top
D6,7.0,-31.0,90.0,top
D7,37.0,-31.0,90.0,top
D8,67.0,-31.0,90.0,top
D9,87.0,-54.0,0.0,top
HS1,20.0,-14.0,180.0,top
HS2,50.0,-14.0,180.0,top
HS3,80.0,-14.0,180.0,top
J12,19.0,-89.0,0.0,top
J2,36.0,-68.0,270.0,top
J3,36.0,-79.0,270.0,top
J4,45.3,-62.7,270.0,top
J5,29.0,-27.0,0.0,top
J6,59.0,-27.0,0.0,top
J7,89.0,-27.0,0.0,top
J8,94.5,-13.0,0.0,top
J9,83.0,-95.0,90.0,top
K2,10.5,-79.0,90.0,top
L1,9.0,-52.0,180.0,top
L2,42.0,-52.0,180.0,top
L3,75.0,-52.0,180.0,top
Q1,47.46,-30.66,0.0,top
Q2,77.46,-30.66,0.0,top
Q3,11.9,-83.0,90.0,top
Q4,17.46,-30.66,0.0,top
R1,26.735,-66.64,0.0,top
R10,26.735,-59.94,0.0,top
R11,36.0,-15.6,180.0,top
R12,36.0,-17.9,180.0,top
R13,36.0,-13.3,180.0,top
R14,66.0,-15.6,180.0,top
R15,66.0,-17.9,180.0,top
R16,66.0,-13.3,180.0,top
R17,6.0,-13.3,180.0,top
R18,6.0,-15.6,180.0,top
R19,6.0,-17.9,180.0,top
R2,26.735,-65.04,180.0,top
R20,6.0,-11.0,0.0,top
R21,36.0,-11.0,0.0,top
R22,66.0,-11.0,0.0,top
R23,26.725,-81.16,270.0,top
R24,96.0,-41.0,0.0,top
R25,17.525,-74.56,90.0,top
R26,22.025,-83.36,180.0,top
R27,16.725,-79.56,0.0,top
R28,29.125,-81.96,0.0,top
R29,22.125,-72.46,180.0,top
R3,30.0,-41.0,0.0,top
R30,27.525,-76.06,180.0,top
R31,8.5,-84.3,0.0,top
R32,66.5,-90.65,270.0,top
R33,64.8,-90.65,270.0,top
R4,63.0,-41.0,0.0,top
R5,7.0,-22.0,90.0,top
R6,37.0,-22.0,90.0,top
R7,67.0,-22.0,90.0,top
R8,16.035,-67.54,180.0,top
R9,16.035,-59.94,180.0,top
RV1,31.0,-50.0,270.0,top
RV2,64.0,-50.0,270.0,top
RV3,11.0,-30.0,270.0,top
RV4,41.0,-30.0,270.0,top
RV5,71.0,-30.0,270.0,top
RV6,97.0,-50.0,270.0,top
SW1,2.5,-85.5,270.0,top
U1,22.0,-43.0,90.0,top
U2,21.4,-63.7,0.0,top
U3,22.1,-77.9,180.0,top
U4,55.0,-42.0,90.0,top
U5,88.0,-42.0,90.0,top
U6,74.0,-73.0,180.0,top
