Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,100n,C_0603_1608Metric,133.36,-99.06,-90,top
D1,1N4148W,D_SOD-123,107.36,-96.36,0,top
D2,1N4148W,D_SOD-123,107.36,-87.76,0,top
D3,1N4148W,D_SOD-123,107.36,-79.06,0,top
D4,1N4148W,D_SOD-123,107.36,-98.76,180,top
D5,1N4148W,D_SOD-123,107.36,-90.16,180,top
D6,1N4148W,D_SOD-123,107.36,-81.46,180,top
R1,10k,R_0603_1608Metric,134,-87.6,180,top
R2,10k,R_0603_1608Metric,134,-89.2,0,top
R3,33k,R_0603_1608Metric,105.86,-94.36,180,top
R4,33k,R_0603_1608Metric,105.86,-85.66,180,top
R5,33k,R_0603_1608Metric,105.86,-77.06,180,top
R6,0,R_0603_1608Metric,108.96,-94.36,180,top
R7,0,R_0603_1608Metric,108.96,-85.66,180,top
R8,0,R_0603_1608Metric,108.96,-77.06,180,top
R9,100,R_0603_1608Metric,137.2,-99.1,-90,top
R10,100,R_0603_1608Metric,129.5,-99.1,-90,top
R11,100,R_0603_1608Metric,129.5,-88.3,90,top
R12,10,R_1206_3216Metric,144.86,-106.36,0,top
R14,10,R_1206_3216Metric,130.26,-106.36,0,top
R16,10,R_1206_3216Metric,115.46,-106.36,0,top
U1,LM324,SOIC-14_3.9x8.7mm_P1.27mm,133.36,-93.76,90,top
